,text,polarity
48,المكتبة جدا هادئة وجميلة  لابد من تجربة مركز الطاقة مع الاطفال وعمل جولة والاجابة على الاسئلة  والتحدي الاسرع في لعبة الشاشات الالكترونية  يتوفر مقهى ستاربكس والعديد من المقاهي  يتوفر ايضا مطعم رائع  اطلالة وجلسة مطعم ايوان جميلة,Positive
49,الدخول عشرين ريال غرفة الطعام خمسين ريال هذا بدون اكل طريقة جشعة لا انصح الذهاب الية حتى يعدلون سياسة المطعم,Positive
50,جميله حدائق ينبع الصناعيه بصفه عامه,Positive
51,اشكر الادارة العامة لحديقة الحيوانات جزيل الشكر على مايقدمونه من رعاية شاملة للحيوانات وكذالك التطوير وتهيئة المناخ المناسب لكل فصائل الحيوانات  هذا ولكم تحياتي,Positive
52,جميلة جدا لكن ما تصلح الا في الشتاء  الحيوانات خامله وتحت الظل من الحر ,Positive
53,موقع جيد بس تجتاج تطوير اكثر من الوقت الحالي,Positive
54,التلفريك غالي الواحد ريال والمسبح للاطفال ريال المفروض العب في المسبح مجاني وفيه مطاعم واماكن قعدات حلوه بس حر وفيه دورات مياه ومسجد  الموطفين المسؤلين عن ركوب التلفريك سعوديين محترمين جدا,Negative
55,اشواك,Neutral
56,تسحق الزيارة,Neutral
57,مكتمه,Neutral
58,مكام سياحي جميل,Positive
59,احلا مكان,Positive
60,مكان رائع و جميل,Positive
61,حديقة كبيرة وجميله ويجد بها خدمات,Positive
62,حضارة وتراث,Neutral
63,من اقدم المساجد الاثرية في الاحساء وبجانبه مدينة جواثا السياحية,Neutral
64,منتزه جميل وهذه صورة ارشيفية لمسجد جواثا التاريخي تعود لعام هجري تقريبا,Positive
65,تجربة جميله لمشاهدة البيوت والازقة القديمة لولا الاجواء الحاره  الجو كان جدا حار  يوجد كافيهات ومطاعم ومتاجر اشياء قديمة ومتاجر كتب وعطور وايضا متاجر حرف يدوية,Positive
66,متحف رائع جدا بارك الله فيكم على المجهود المبذول والرائع,Positive
67,رحم الله اجسادا تذكرنا بهذا المكان,Positive
68,بيت عائلة المتبولي  يحوي اثاث العائلة القديم  وكانوا من اغنياء جدة  لا يستحق العناء للزيارة  لكن من كان في جدة التاريخية يمر عليه,Neutral
69,مكان جميل جدا ويحمل اسم موحد هذه البلاد المباركة رحمه الله واسكنه الجنة,Positive
70,متحف رائع رائع انصح الجميع بزيارته مجاني متنوع هداف مناسب لجميع الاعمار يحتاج فقط لجهد اكبر ومبتكر في عملية دخول الزوار لانها تتم بشكل عشوائي,Positive
71,كل يوم شي جديد,Neutral
72,باختصار متحف خرافي نفتقد مثل هذه الاماكن ببلدنا يعيشك حياة الماضي تماما من اواني الشرب الى ادوات المدرسه الى المجالس الى دكاكين و سيارات و كل شيء حرفيا  بالنسبة للدخول الاطفال مجانا و الكبار ب عشرين ريال فقط و اشوفه يستاهل اكثر,Positive
73,مكان جميل واجواءه رائعه والالعاب خياب انصح انصح انصح انصح فيه وكل ريال حلال الله يوفقهم ويرزقهم ,Positive
74,مقامك حيث اقامك  اذا اردت ان تعرف قدرك عند الله فانظر اين اقامك اذا شغلك بالذكر فاعلم انه يريد,Positive
75,جبل قاره اسم اكبر من حجمه واكبر غلطه اني مررت بها  وانت بالطريق لها راح تشوف اشكال الجبال الغريبه المنحوته طبيعيا,Positive
76,مهرجان طنطورة احلى مهرجان في محافظة العلا يقدم لكم عن تراث العلا,Positive
77,رائع يحتاج تنظيف,Negative
78,اول واكبر متحف متخصص للتراث العمراني والحضاري في المدينة المنورة يكشف معالم ارثها وحضارتها الاسلامية  ويضيء صفحات ناصعة من تاريخها المجيد يجد الزائر فيه اوصي بزيارته,Positive
79,جميل ورايق بس ينقصه اهتمام,Positive
80,المكان جميل ومرتب,Positive
81,تاريخ الجزيرة العربية,Neutral
82,تحت البناء حاليا,Neutral
83,طيب,Neutral
84,جميل ولكن يحتاج لتحسينات اكثر لجذب السياح,Positive
85,المكان جميل ورائع ومفخرة من مفاخر الوطن لكن تفاجئت في الفترة الماضية من تشغيل ادارة المركز للموسيقا وهذا لا يليق بمركز وطني ثقافي,Positive
86,عباره عن العاب مائيه للاطفال متسخه ولا فيها اهتمام ودورات المياه جدا متسخه  واسعارهم نااار وياخذون على كل شخص يدخل مبلغ وقدره يسبح م يسبح مو شغلهم انت بتدخل اشتر تذكره وادخل وغير دقيقين بالوقت قالوا نقفل  بالليل وم جات عشر الاهم يطردونا بالاهواز اللي يستخدمونها للغسيل يطرطش عليك يعني تطلع,Negative
87,لطالما كان مكان اسرتي المفضل لقضاء اجمل اللحظات لتصفية الافكار وسط صوت العصافير والمياه الجاريةواللون الاخضر يكسو الاشجار من حولك في كل مكانمكان مميز لحركة الاطفال بالدراجات,Positive
88,جميل جدا ويستحق التجربه تقريبا ياخذ وقت  دقيقه ولكن الاسعار مرتفعه,Positive
89,والله هالمتحف دايم اسمع عنه و لا اجيه و هالمره جيتهم و استمتعت صراحه لا يفوتكم,Negative
90,جميل بس يفتقد الترتيب والارشاد والمواقف,Positive
91,فوظه,Neutral
92,مهرجان جميل بمعنى الكلمه شكرا للمنظمين  على جهودهم  يلاحظ تاخر بعض القطاعات والاجنحه المشاركه بالعمل الى مابعد العصر وكذلك مبالغة الباعة بالاسعار  الى اربعة اضعاف  مثل سعر كوب الشاي  خمس ريال والمطبق عشره ريالات  وازدحام شديد جدا  اخر يومين,Positive
93,مهرجان الجنادرية مكان جميل جدا للزيارة الموسمية والتعرف على التراث والتعرف على الخدمات الذي تقدمها بعض الدوائر الحكومية في المملكة عن الجنادرية,Positive
94,حلو بس مشكلته ممنوع الاب او الاب يلعبون نبي وناسه عائليه ما يصير كذا,Negative
95,كانت زياره سريعه لكن المكان رايق وجميل,Positive
96,مبنى تراثي جميل,Positive
97,القرية التراثية مكان عائلي رائع يجمع بين اصالة الماضي والعصر الحديث في منطقة جازان في قلب فني بديع,Positive
98,ماساة هذا النوع من الاستثمار يجب ان يكون تحت رعاية وزارة السياحة يجب معاقبة الادارة على سوء ادارتهم,Positive
99,من اجمل الاماكن الي بها ذكريات الطفولة الجميلة ومغامراتنا في المتحف الحديقة جميلة المباني جميلة كل شي جميل,Positive
100,جميل ومنظم ومعلومات رائعه,Positive
101,مررت به ولم ازره لكن الملفت للنظر الدخول  ريال للفرد من الغير المعقول هذا السعر اتمنى ان يكون المبلغ رمزي,Negative
102,جيده جدا ولاكن اسعارهم مرتفعه نوعا  ما,Positive
103,سبحانه عز شانه,Negative
104,قلعه اثريه ينقصها الترميم والاهتمام واستغلالها سياحيا,Positive
105,للامانة متحف متعوب عليه جدا والمرشد السياحي هناك يشرح لك حياة النبي  من قبل الولادة حتى وفاته بجميع التفاصيل ويعيشك جو مع حياة النبي  والصحابه,Positive
106,مكتبة اثراء  متحف الطفل  معرض الطاقة  وايضا تقدم فرص تطوعية اثرائية لتبادل المهارات وتغذية  الابداع  والتواصل الحضاري مع العالم,Positive
107,من اجمل ما شاهدت مهرجان يستحق العناء والسفر له يحتوي على العديد من الانشطه والفعاليات واعتز بما رايت دام عزك يا وطن عتبي فقط على اسعار المنتجات والاطعمه يوجد مبالغه نوعا ما في اسعار بعض مماهو معروض وكذلك الممرات الخاصه بعربات الاطفال لم تكن,Positive
108,جميل بس الاسعار بالرياض الكوفيهات والحلا غاليه جدا,Positive
109,من افضل الشواطئ الي زرتها,Neutral
110,حديقة جميلة ومرتبه وفيها انشطة منوعة,Positive
111,مبالغ بالتذاكر,Neutral
112,جيدولكن غالي,Neutral
113,الصراحة شيء مخجل الطريق للمواقف ردمية كلها حجر  المواقف مافي ترتيب الكل يوقف على كيفه وين ماحطة دابته,Negative
114,للطفال فقط,Neutral
115,مكان رائع جدا جدا جدا جدا,Positive
116,مكان جميل جدا بالاخص من الخارج من حيث التشجير والنظافة ولكن يحتاج الي زيادة الحمامات,Positive
117,كلما ازورها اتذكر الماضي التليد لدولتنا,Neutral
118,المسجد بدون مكبر صوت,Positive
119,المعرض جميل ومرتب ولكن كل الاجهزة او اغلبها مكسورة اومعطلة لا يوجد اهتمام بالاجهزة والمعرضات وللاسف مبلغ التذكرة مبالغ  ريال للفرد,Positive
120,الماء ليس نظيف وسعر غالي ولكن كونها فكره مختلف عن باقي مدن الالعاب في الشرقيه يوجد عليها اقبال كبير,Positive
121,جيد ولكن غير مريح لمن لديه عربية اطفال لا تستطيع المشي بها,Positive
122,يقدم نبذه عن عادات المنطقه وترثها  في سابق,Neutral
123,المكان جميل وتاريخي يستاهل الزيارة وهو في طور التجهيز والترتيب,Positive
124,جميل جدا جدا ومنظم ونظيف وكل شيء باللغة العربية والانجليزية مناسب جدا للسياح والعوائل وجميع الفئات,Positive
125,جيد ولكن لا يوجد به اشياء كثيرة,Positive
126,روعه المكان يستحق الزياره,Neutral
127,مره روعه تراث قديم كل شي حلو واللوحات ابداع فنانين وفنانات والمكان جدا مريح ويبعث الطاقه الايجابيه,Positive
128,لايوجد بها شي مميز,Positive
129,الحديقة تطورت بشكل ملحوظ الفترة الاخيرة  زيارتي الاخيرة كانت من سنتين تقريبا وزرتها قبل اسبوع  الرذاذ موجود ومتوفر ومعطي رطوبة وبرودة في الجو  واقفاص الحيوانات المفترسة صارت اجمل و بشكل عام الحديقة صارت اجمل  خيار ممتاز لنزهة عائلية ,Positive
130,المتحف يعرض الحضارات البشرية بتسلسل زمني وباسلوب جميل ومتقن يصاحبها شرح توضيحي والمجسمات والرسومات والعرض الصوتي والمرئي بسعر رمزي  ريال وبالمتحف يوجد مكان للجلوس مع تقديم المشروبات الساخنه والماء مجانا للزوار,Positive
131,مع الاسف جيت و ضاربين مشوار و الحارس بيقول ماعندي علم و الشكله مبين هنا ان المكان مفتوح الي ساعه,Negative
132,سلام الله عليك يارسول الله روعه المكان والمعلومات الي فيه,Positive
133,جميلة وهاديه ونظيفة اكرر الزيارة,Positive
134,جميل جدا ويستحق الزيارة,Positive
135,متحف جيد جدا يحكي تاريخ الاحساء ولكن بحاجة لمزيد من التطوير وجمع قطع اثرية اكثر,Positive
136,ممتاز ولاكن يحتاج اهتمام اكثر,Positive
137,لاجديد نفس زيازتي لهم بكل مره الشي الي مختلف الاضاءه وانهم سمحو بالمعسل وذا يخليك ماترتاح في المكان,Neutral
138,جدة القديمة   او البلد او باب مكة  من الاماكن الاثرية والقديمة بمدينة جدة   انصحكم بزيارتها خاصة انه صار عليها تحسينات كثير,Positive
139,تجربة رائعه وممتعه جدااا فيها كميه كبيرة من الحيوانات النادرة ويوجد كافيهات ومصلى وجلسات رائعه,Neutral
140,بقايا قصر خرب,Positive
141,جميله زيارتها لكن بالشتاء ,Positive
142,يستحق الزيارة  لمحبي الاكلات الشعبية اكلات شعبية لاغلب مناطق المملكة والمتحف الي في القرية ثري بالقطع القديمة والوثائق,Neutral
143,اتمنى زيارتها,Negative
144,جميل وممتع وراقي انصح فيه وبشده,Positive
145,اقدر اقول لك افضل مكان سياحي بالسعوديه من ناحية الجو والاسعار ارخص من الشفا الي بالطايف,Positive
146,شامل لجميع تراث المناطق نوع من التغير وتستحق الزيارة يوجد في جناح هيئة السياحة ركن لجمعية غوث للتوعية من الاخطار والكوارث برنامج طبق الانعاش الرئوي واسلتم الشهادة فورا ,Positive
147,موقعه ولطبيعه عوائل المرتادين لتلك المنطقة حيث اغلبهم ودود ومحترم ولان لي ذكريات جميله هناك,Positive
148,بعد الاماكن و الاجنحة عن بعضها  بعض الاجنحة و الممرات غير مهيئة للعربات و ان كانت فهي وعرة قلة اللوحات الارشادية للاجنحة ويفضل ان تكون مرسومة على الارض بواسطة اسهم توضح,Positive
149,مغامره ممتعه,Neutral
150,رائع وممتع,Neutral
151,بحيرة ينبع الصناعية افضل الاماكن السياحية انصح الجميع بزيارتها,Positive
152,ارقى مجمع في الرياض وجميع المطاعم والكافيهات اللي فيه راقية ,Neutral
153,جميله جدا جدا انصحكم بزيارتها,Positive
154,معزوله,Neutral
155,منطقه سياحيه جميله,Positive
156,ممتازه شي جميل جدا,Positive
157,ماشاء الله مرتبه وجمليه ,Positive
158,الاجواء تجنن وبارده,Neutral
159,جو خيالي ويستحسن الزياره من بدري لان غالبا العصر تهطل امطار وبرد ولاتصلح للجلوس وتكثر الزحمه في الطريق للتزول ولاكن تجذبك لتكرار الزياره يعيبها غلا التلفريك,Positive
160,جميل المجمع والمطاعم راقيه,Positive
161,جميله جدا وسيستمتع فيها الابناء والاطفال بشكل كبير,Positive
162,على كرنيش الدمام الواجهة البحرية  فيها مطاعم وكذالك متاحف واشياء قديمة  ترجع بها ذاكرتك للماضي الجميل,Positive
163,جيد جدا الحمد لله,Positive
164,مغلق للصيانه في بداية شهر مايو,Negative
165,ممتاز خاصة المكتبة,Positive
166,جميل جدا لكن كان في فعاليات لا تعمل او مغلقة مع كذا انصح بالزيارة,Positive
167,مكان عالمي فيه برامج متنوعة ابداعية تشمل الصغار والكبار انصح بزيارته وبقوة,Positive
168,لا يوجد لوحات ارشادية توضح المدخل الرئيسي  واعمال الانشاء لم تنتهي بعد,Negative
169,جيدة بس مافي حولها اي خدمات,Positive
170,اشجار كثيفة ذات ظل يتوسطها بحيرات صغيرة بنوافير تكسر السكون تنفع للعوائل اول العصر للمغرب,Negative
171,السوق الشعبي النسائي يقع بالدمام على شارع الخزان تم تجديده الى مبنى بتصميم المساكن التراثيه القديمه جميل يظم محلات نسائية جميل للذكريات القديمة بتصميم الجديد بالقديم جيل الطيبين,Positive
172,تعتبر محطة الحجاز من اهم المعالم السياحية في المدينة المنورة فهي اخر محطات سكة قطار الحجاز القديمة التي كانت تربط دمشق بالمدينة المنورة مرورا بالاردن وصحاري وجبال تبوك وجبال الحجاز وقد كانت تمتد على طول كم وقد انشاها السلطان عبد الحميد الثاني سنة وهي الان تفتح كمتحف يعرض تاريخ المحطة وتاريخ المدينة المنورة,Positive
173,مكان تراثي يستحق الزيارة,Positive
174,افسد,Negative
175,مكان جميل وترتيب رائع انصح بزيارته للعوائل,Positive
176,استهبال,Neutral
177,كل شي حلو وممتاز عدا البحيره اسمها اكبر منها ماتجي في عادي لاتستحو تقولو بركة صناعيه طيب السكن في ينبع مقز خذ لك خيمه اصرف ولا اقول لك خلك بمدينة الملك عبدالله الاقتصاديه وربي خرافيه وقريبه وكانك بدبي فعليا,Positive
178,رائعة جدا فيها انواع محدده من الطيور نظيفة واصوات الطبيعية والعصافير جميلة فيها بحيرة صغيره جدا وجميلة,Positive
179,لا باس بها,Neutral
180,بيت عريق ومتحف جميل ينقل لك تراث الماضي بكل تفاصيله,Positive
181,حديقه ممتازه كل شي فيها يفتح النفس من نظافه و ترتيب لو يحطون شوي مبيدات للحشرات كان افضل ولكن لا تعيب المكان لانه بصراحة شي من الاخر,Positive
182,عبق الماضي وجوار الحبيب المصطفى صل الله عليه وسلم,Positive
183,عمل جبار يجل عن الوصف,Positive
184,كبدي,Neutral
185,مكان جميل و يفضل زيارته بالصباح الباكر,Positive
186,القصر جميل جدا لكنه مهمل ولم يعد كمزار سياحي و تاريخي مهم يقال ان موقعه بالقرب من ساحة معركة حنين و بني قبل اكثر من سنة و البناء الحالي حديث و اتخذه الملك عبدالعزيز قصرا للضيافة و استقبل فيه الملك سعود بعض ضيوف الدولة اتمنى ان يجد الاهتمام الذي يستحقه  ينسب الى جبرة المخزومية زوجة هشام بن محمد والي مكة في عهد هشام بن عبدالملك,Positive
187,خروجتى المفضلة كل اسبوع  مكان جميل ونظيف ومتنوع التصاميم والاجواء المختلفة,Positive
188,جيد الموظفين في قمه الاحترام الموقع يحتاج تطوير,Positive
189,حديقة هادئة وجدا خلابة,Neutral
190,مكان جميل يستحق الزيارة رسوم دخول بسيطه ومعقوله جدا,Positive
191,جميله بس تحتاج ترميم من جديد,Positive
192,انصح بزيارتهاقدم مساجد الاحساء وهو ثاني مسجد صليت فيه صلاة الجمعة تم تجديده بالطراز القديم وبجاوره منتزه جميل جدا,Positive
193,مناسب للعائلة ويوجد مطاعم وكفيهات تلبي معظم الاذواق,Neutral
194,رائع يحتوي على معلومات غيمه احببت هذا المكان,Neutral
195,مكان رائع  جدا,Positive
196,مكان شرح وجميل جدا,Positive
197,تغير في المكان  روعه انهم محتفظين فيها الى الان جدا استمتعت واخذت سياره القولف الشخص بريال وكان يائق السياره رجل محترم وكانه مرشد سياحي,Neutral
198,روعة تراث اعل جيزان,Neutral
199,معلم طبيعي رائع جدا والمغارة باردة صيفا دافئه شتاء وهو يطل على اربع قرى ولابد من زيارة هذا الموقع الجميل والفريد من نوعه,Positive
200,مره حلو وممتع,Neutral
201,متحف جميل لكن حضرنا في يوم التطوع ازعجتنا اصوات الشيلات المزوده بالموسيقى,Positive
202,القلعه مغلقه للاصلاحات والتجديدات,Negative
203,تجربة جميلة جدا ومنطقة تاريخية,Positive
204,ترتيب جميل ورائع ولاكن الالعاب المائية بدائيه جدا مره واحده فقط زرتها ولا اود تكرارها,Positive
205,متحف الشريف   متحف الشريف متحف يملك الكثير من التراث ويوصى بزيارتة ويقيم ,Positive
206,متازة,Neutral
207,المكان نظيف ويوجد رسوم دخول فوق  سنوات  ريال والجلسات المغلقه  ريال طلبات الاكل الهريس يجنن والجريش كذلك اما الباقي شعبي اعطيه  ويسكر  بالليل المفروض يراعون انه اجازه واجواء الشرقيه تبتدي من  بالليل وانتقادي على الجلسات ماله داعي تكون برسوم اما بالنسبه للمتحف ابدعوو في تصميمه والسوق كذلك والجلسات المتنوعة,Positive
208,مكان جدا جميل حيوانات متنوعه جدا الاهتمام بنطافة المكان وكثرة الموظفين في كل الحديقه,Positive
209,للاسف مذ سنة يقام هذا المهرجان لعرض التراث اذ يمثل حضارة وتقدم وازدهار ولكن يفتقد للمواقف المرقمه والمخططه والملظللة  يفتقد للمساحات الخضراء والشلالات والنوافير  والارصفة  والجلسات المميزة  المبهرة  يفتقد للمطاعم المتعددة والمنوعة,Negative
210,هذا المكان جميل لكنه مزدحم جدا,Positive
211,جيد ولكن صغير وهو مثل قراءة كتاب ولكن غير موثق  الملفت للنظر المرشدين الذين يجيدون اللغات غير العربية تحية تقدير لهم يوجد رسوم دخول  ريال للكبير و ريال لمن دون ال,Negative
212,الحديقة جميله جدا ينقصها ان الحيوانات تكون اقرب مثلا الاسود وغيرها بعيده لو يوضع حاجز اطول وتكون اقرب تشاهدها بوضوح ايضا الوقت ما يجي الساعه  الا ويخرجونك من المكان غصب لدرجة تجمع الزائرين عند البوابه الرئيسيه بشكل مخيف وفي ظل ازمة كورونا,Positive
213,اجمل مكا ممكن زيارته مع العائلة باجواء حميميه والتعرف على اول مسجد تجظع فيه صلات الجمعة من بعد مسجد الرسول علية الصلات والسلام واللذي بني في السنة السابعة للهجرة واللذي رمم في عام  للهجرة,Positive
214,جدا مميز شي يشكر كل من ساهم بالمشروع,Positive
215,المتحف جميل لكن السكة نفسها مغلقة للصيانة,Positive
216,مريض,Neutral
217,منطقة صغيرة يوجد بها محل ايسكريم تركي لذيذ اسمه دندرما لديه ايسكريم الكنافة المنطقة لا باس بها لمن لديه وقت زائد للتمشية,Negative
218,البكتيرياء,Neutral
219,قهر,Neutral
220,حديقة اقل من عادية,Negative
221,المكان منساب لمعرفه حياه الرسول صلى الله عليه وسلم وهجرته وغزواته وحجره السيدة عائشة رضي الله عنهاومكان دفن الرسول صلى الله عليه وسلم واصحابه ابو بكر وعمر رضي الله عنهم الدخول للكباروالصغار,Positive
222,مركز الملك عبدالعزيز قطعة من اوروبا انصح بزيارتها,Positive
223,موقع يشرح الصدر متنفس جدا جميل,Positive
224,مكان رايع وجميل وطبيعه خلابه,Positive
225,مركز رائع في كل ما يناسب الاعمار من  سنوات الى الرجال الكبار يوجد به كل ما يخص النفط  والنقيب ومكتبة,Neutral
226,صرح اعجوبه ورائعه من روائع الدنيا,Neutral
227,جيد جدا ولاكن يحتاج الى تطوير,Positive
228,هادئة جميلة ورائعة ونظيفة,Positive
229,مكان جميل لكن ماينفع زيارته الا في الشتاء الاجواء تصير جميله,Positive
230,زرته ولما لم يكتمل مشروع الطرق اليه فوجدت صعوبة في الوصول  لم ازره كمتحف انما كانت وجهتي لفرع السياحة بحائل حيث اصبح المتحف مقرا لها  اتمنى زيارته قريبا,Positive
231,مركز جميل فكرة رائده مميز يحتاج الى تطوير مستمر,Positive
232,مررا حلو و الموظفه جود يجنن اسولبها مع الجميع و توسع الصدر مرا,Neutral
233,مافيه طريق للسياره لا تطلع فوق,Neutral
234,جميل للعوائل وفيه تراث جيزان الجميل,Positive
235,من الخارج جميلة جدا,Positive
236,مطعم جيد اكلهم لذيذ اسعارهم متوسطة  مشكلتهم يلزمونك بدفع عشرين ريالا للشخص البالغ قيمة زيارة المتاحف السيارات  القديم  الحيوانات المحنطة,Positive
237,ممتاز خاصه اللي يحب الاغراض القديمه والشعبيه وايضا يوجد به مطعم شعبي في الخلف تشرف عليه امراة كبيرة في السن ويوجد فيه بيت من الحجر بداخله تراثيات,Positive
238,جده غير,Neutral
239,المكان عائلي بامتياز والادارة رائعة وتقدم عروض ممتازة للمواطنين في المناسبات المختلفة,Positive
240,رائع جدا يستحق الزياره,Neutral
241,ممتاز ينقصها اهتمام شوي,Positive
242,جميل ان تذكرك المحافظات الوطنية بتراثية المكان وخاصة اذا وجدت بيع التذكارات المميزة,Positive
243,بكم الدخول فيه,Neutral
244,تجمع جيد لمطاعم راقية بشمال الرياض  به مقاهي منوعة وجلسات مفتوحة ومغلقة,Positive
245,موقع تاريخي مميز محتاج اكثر تتطوير,Positive
246,كانه معرض ارامكو,Positive
247,المكان جميل لكن يعيبه كثرة الشباب,Positive
248,رائع يستحق الزيارة,Neutral
249,المهرجان كان رائع,Neutral
250,مكان اثري قديم من عاد العهد الاموي ويسمى بقصر جبره وهي جبره القرشي احدى جميلات العرب في ذلك العهد والتي تزوجها احد امراء مكه المكرمة الامويين  وخلال زيارتي له رايت جمال البناء المعماري ولكن حزنت على وضعه من حيث قلة الاهتمام فيه وعبث بعض الزوار برمي القمامه او الكتابه على الجدران,Positive
251,خطره,Negative
252,المفروض يترمم,Negative
