word,polarity,word_clean,word_preprocessed
مميزيين,3,مميزيين,مميزي
يفضل,3,يفضل,يفضل
يهتم,3,يهتم,يهتم
الارتياح,3,الارتياح,ارتياح
مطورين,3,مطورين,مطور
بينبسطون,3,بينبسطون,ينبسط
رمزيه,3,رمزيه,رمز
لاابعد ,3,لاابعد,لاابعد
فرحوا,3,فرحوا,فرح
تكمل ,3,تكمل,تكمل
تعدد,3,تعدد,تعدد
ان شاء,3,ان شاء,ان شاء
طوروها,3,طوروها,طور
ملموسه,3,ملموسه,ملموس
رخصيه,3,رخصيه,رخص
صايره ,3,صايره,صاير
بشده,3,بشده,بشد
واضحه,3,واضحه,واضح
للامانه,3,للامانه,امانه
ماتوقعته,3,ماتوقعته,ماتوقع
متكامل,3,متكامل,متكامل
لاطوفكم,3,لاطوفكم,لاطوف
تلق,3,تلق,تلق
متحمس,3,متحمس,متحمس
ابتكار,3,ابتكار,ابتكار
تنبسط,3,تنبسط,تنبسط
خارق,3,خارق,خارق
مغرم,3,مغرم,مغرم
اندهش,3,اندهش,اندهش
مبهجه,3,مبهجه,مبهج
ترتاح ,3,ترتاح,ترتاح
مايفوت,3,مايفوت,مايفو
ايجنن,3,ايجنن,ايجن
بأمتياز,3,بامتياز,بامتياز
مذاق ,3,مذاق,مذاق
قيم ,3,قيم,قيم
تعبانين ,3,تعبانين,تعبان
روحو,3,روحو,روحو
بحقه,3,بحقه,بحق
مايقال,3,مايقال,مايقال
بمعني,3,بمعني,بمع
زيارات,3,زيارات,زيارا
لا مثيل,3,لا مثيل,مثيل
اذهلنا,3,اذهلنا,اذهل
مااروعه ,3,مااروعه,مااروع
مااجمله,3,مااجمله,مااجمل
يأسر ,3,ياسر,ياسر
تتميز,3,تتميز,تتميز
نظافتهم,3,نظافتهم,نظاف
استمتعنى,3,استمتعنى,استمتعني
للتمشيه,3,للتمشيه,تمشيه
للتمشية,3,للتمشية,تمش
احترافي,3,احترافي,احتراف
حماس,3,حماس,حماس
وبقوة,3,وبقوة,بقو
ولا غلطه,3,ولا غلطه,غلط
استمرو,3,استمرو,استمر
عسل,3,عسل,عسل
حلال,3,حلال,حلال
ذوق,3,ذوق,ذوق
كثب,3,كثب,كثب
خصوصية,3,خصوصية,خصوص
اتقان,3,اتقان,اتقان
الأصالة,3,الاصالة,اصال
راسخ,3,راسخ,راسخ
يسحرني,3,يسحرني,يسحر
معشوقتي,3,معشوقتي,معشوقت
مماتتصور,3,مماتتصور,مماتتصور
أريحية,3,اريحية,اريح
فنانه,3,فنانه,نان
اثرت,2,اثرت,اثر
جاذبة,2,جاذبة,جاذب
احببتها,2,احببتها,احبب
رايقه,2,رايقه,رايق
راقي,2,راقي,راق
ملحوظه,2,ملحوظه,ملحوظ
كثيره,2,كثيره,كثير
مايتفوت,2,مايتفوت,مايتفو
ماتتفوت,2,ماتتفوت,ماتتفو
بأدق ,2,بادق,بادق
شرحه,2,شرحه,شرح
احلي,2,احلي,احل
ميزه,2,ميزه,ميز
هادى,2,هادى,هادي
تصلح ,2,تصلح,تصلح
عجيب,2,عجيب,عجيب
بنفس ,2,بنفس,نفس
تنوع ,2,تنوع,تنوع
تقسيمها ,2,تقسيمها,تقسيم
مزدهر,2,مزدهر,مزدهر
هادية,2,هادية,هاد
صراحه,2,صراحه,صراح
نفسيا,2,نفسيا,نفسي
مريح,2,مريح,مريح
انبسطت,2,انبسطت,انبسط
متعوب ,2,متعوب,متعوب
يابلاش,2,يابلاش,يابلاش
احترام,2,احترام,احترام
مهيئة,2,مهيئة,مهيء
امتع,2,امتع,امتع
ملهم,2,ملهم,ملهم
اعود,2,اعود,اعود
عميق,2,عميق,عميق
براحه,2,براحه,راح
لذيذ,2,لذيذ,لذيذ
تغيرت,2,تغيرت,تغير
اربع,2,اربع,اربع
مجهود ,2,مجهود,مجهود
تسهيل,2,تسهيل,تسهيل
بدقه,2,بدقه,بدق
متميز,2,متميز,متميز
يستاهل,2,يستاهل,استاهل
ماراح,2,ماراح,ماراح
حمسنا,2,حمسنا,حمس
يشرح ,2,يشرح,يشرح
روقان,2,روقان,روقان
شراحه,2,شراحه,شراح
ماتنمل,2,ماتنمل,ماتنمل
ماتمل,2,ماتمل,ماتمل
ماشاء,2,ماشاء,ماشاء
تبارك,2,تبارك,تبار
قمه ,2,قمه,قمه
حفظهم ,2,حفظهم,حفظ
غني,2,غني,غن
تليق,2,تليق,تليق
يوضح,2,يوضح,يوضح
بكل ,2,بكل,بكل
يتميز,2,يتميز,يتميز
يثري,2,يثري,يثر
يرسخ,2,يرسخ,يرسخ
تشعر,2,تشعر,تشعر
تراثيه,2,تراثيه,تراث
كبيره,2,كبيره,كبير
انطلاقه,2,انطلاقه,انطلاق
شغف,2,شغف,شغف
ازدهار,2,ازدهار,ازدهار
بهجه,2,بهجه,بهج
يتمني,2,يتمني,يتم
الاستجمام,2,الاستجمام,استجمام
ذكرني,2,ذكرني,ذكر
ادمان,2,ادمان,ادمان
رهيبة,2,رهيبة,رهيب
وافي,2,وافي,واف
وافى,2,وافى,وافي
الرائعه,2,الرائعه,رايعه
انسجام,2,انسجام,انسجام
لا يوصف,2,لا يوصف,يوصف
متنوع,2,متنوع,متنوع
مختلفه,2,مختلفه,مختلف
احب,2,احب,احب
ازين,2,ازين,ازين
مغامره,2,مغامره,مغامر
تغيير ,2,تغيير,تغيير
مرح,2,مرح,مرح
بخاطرك,2,بخاطرك,خاطر
امان ,2,امان,امان
هدوء,2,هدوء,هدوء
نايس,2,نايس,نايس
متنفس,2,متنفس,متنفس
عبقري,2,عبقري,عبقر
المفضله,2,المفضله,مفضله
تفتح ,2,تفتح,تفتح
توجد,2,توجد,توجد
فية ,2,فية,فية
جنان,2,جنان,جنان
محترفين,2,محترفين,محترف
جذري,2,جذري,جذر
المتوسط,2,المتوسط,متوسط
لزيز,2,لزيز,لزيز
مدح,2,مدح,مدح
مبدع,2,مبدع,مبدع
محظوظة,2,محظوظة,محظوظ
كريم,2,كريم,كريم
مؤثر,2,مؤثر,موثر
واقعي,2,واقعي,واقع
يجنن,2,يجنن,يجن
يسلام,2,يسلام,يسلام
يمدحون,2,يمدحون,يمدح
يمدحونة,2,يمدحونة,يمدحون
استفدت,2,استفدت,استفد
ثقه,2,ثقه,ثقه
اصلي,2,اصلي,اصل
مصلي,2,مصلي,مصل
موفقه,2,موفقه,موفق
فكرة,2,فكرة,فكر
إجازة,2,اجازة,اجاز
تشرح,2,تشرح,تشرح
ممتعة,2,ممتعة,ممتع
نورا,2,نورا,نور
باللباقة,2,باللباقة,لباق
تبرز,2,تبرز,تبرز
الثمينه,2,الثمينه,ثمينه
يفيدك,2,يفيدك,يفيد
اعجز,2,اعجز,اعجز
الطف,2,الطف,الطف
المستوى,2,المستوى,مستوي
فأنصح ,2,فانصح,فانصح
الاعصاب,2,الاعصاب,اعصاب
يهدي  ,2,يهدي,يهد
مجهز,2,مجهز,مجهز
مستوي,2,مستوي,مستو
طعيم ,2,طعيم,طعيم
الشكر,2,الشكر,شكر
اخلاق,2,اخلاق,اخلاق
يازين,2,يازين,يازين
سريع,2,سريع,سريع
فاخر,2,فاخر,فاخر
استقلالية,2,استقلالية,استقلال
مجدد,2,مجدد,مجدد
شيق,2,شيق,شيق
مشوق,2,مشوق,مشوق
جديدة,2,جديدة,جديد
ذكاء,2,ذكاء,ذكاء
تروحون,2,تروحون,تروح
زاد متعتنا,2,زاد متعتنا,زاد متع
عقبال ,2,عقبال,عقبال
سعدت,2,سعدت,سعد
لا يفوت,2,لا يفوت,يفو
خدوم,2,خدوم,خدوم
يفوز,2,يفوز,يفوز
اهنيكم,2,اهنيكم,اهن
متفوق,2,متفوق,متفوق
صداره,2,صداره,صدار
شرفتونا,2,شرفتونا,شرفت
افتخر,2,افتخر,افتخر
راضين,2,راضين,راضين
مبروك,2,مبروك,مبر
صدق,2,صدق,صدق
ملائم,2,ملائم,ملايم
افضله,2,افضله,افضل
امدح,2,امدح,امدح
زين,2,زين,زين
توب,2,توب,توب
لايقاوم,2,لايقاوم,لايقاوم
مشهور,2,مشهور,مشهور
مغريه,2,مغريه,مغر
يفوق,2,يفوق,يفوق
تأخذ ,2,تاخذ,تاخذ
مثله,2,مثله,مثل
العقل,2,العقل,عقل
اضافه,2,اضافه,اضاف
ارتب,2,ارتب,ارتب
ضبطوها,2,ضبطوها,ضبط
تطورت,2,تطورت,تطور
مزاج,2,مزاج,مزاج
الفائدة,2,الفائدة,فايد
فله,2,فله,فله
فلوها,2,فلوها,فلو
يحفظنا,2,يحفظنا,يحفظ
فاقت ,2,فاقت,فاق
مليئ,2,مليئ,مليء
الراحه ,2,الراحه,راحه
عام,2,عام,عام
ربنا,2,ربنا,ربنا
سعيد,2,سعيد,سعيد
رحابه  ,2,رحابه,رحاب
تحسينه,2,تحسينه,تحسين
بنبسط,2,بنبسط,نبسط
غايه,2,غايه,غاي
توقعاتي,2,توقعاتي,توقعات
حرص,2,حرص,حرص
عنايه,2,عنايه,عنا
ولا يمنع,2,ولا يمنع,يمنع
نكررها,2,نكررها,نكرر
معقولة,2,معقولة,معقول
تحسنت,2,تحسنت,تحسن
نظيفة,2,نظيفة,نظيف
منظمه,2,منظمه,منظم
نجمات,2,نجمات,نجما
جيد,2,جيد,جيد
نزهة,2,نزهة,نزه
يخرفن,2,يخرفن,يخرف
تخرفنت,2,تخرفنت,تخرفن
اعجابكم,2,اعجابكم,اعجاب
تشكر,2,تشكر,تشكر
مبتكر,2,مبتكر,مبتكر
تصميم  ,2,تصميم,تصميم
لا تمل,2,لا تمل,تمل
شامخ,2,شامخ,شامخ
تركيز,2,تركيز,تركيز
هاديء,2,هاديء,هاديء
حيل,2,حيل,حيل
حلم,2,حلم,حلم
تبعث,2,تبعث,تبعث
تشويق,2,تشويق,تشويق
منخفض,2,منخفض,منخفض
تطوع,2,تطوع,تطوع
استثمر,2,استثمر,استثمر
استثمار,2,استثمار,استثمار
مبتسم,2,مبتسم,مبتسم
تشوق,2,تشوق,تشوق
عظماء,2,عظماء,عظماء
اندماج,2,اندماج,اندماج
ترسيخ,2,ترسيخ,ترسيخ
تنعكس,2,تنعكس,تنعكس
مترابط,2,مترابط,مترابط
هالابداع,2,هالابداع,هالابداع
هالاهتمام,2,هالاهتمام,هالاهتمام
استانس,2,استانس,استانس
وانجح,2,وانجح,وانجح
انجح,2,انجح,انجح
يالطيف,2,يالطيف,يالطيف
يتامل,2,يتامل,يتامل
يتعاون,2,يتعاون,يتعا
لتمشيه,2,لتمشيه,لتمش
مختصر,2,مختصر,مختصر
عمق,2,عمق,عمق
وسيع,2,وسيع,سيع
يعجز,2,يعجز,يعجز
مبسوطه,2,مبسوطه,مبسوط
تفوز,2,تفوز,تفوز
لا تترددون,2,لا تترددون,تتردد
وناسه,2,وناسه,ناس
يونس,2,يونس,يونس
تونس,2,تونس,تونس
بجداره,2,بجداره,جدار
سمحه ,2,سمحه,سمح
متناول,2,متناول,متناول
لذه,2,لذه,لذه
ادق ,2,ادق,ادق
كلاس,2,كلاس,كلاس
تتنفس,2,تتنفس,تتنفس
يفتخر به,2,يفتخر به,يفتخر
منبرة,2,منبرة,منبر
منبهره,2,منبهره,منبهر
اعتز,2,اعتز,اعتز
ماينطفش ,2,ماينطفش,ماينطفش
نمبر,2,نمبر,نمبر
وابهرها,2,وابهرها,وابهر
لطفاء,2,لطفاء,لطفاء
الإنجاز,2,الانجاز,انجاز
مابعده ,2,مابعده,مابعد
اتخيل ,2,اتخيل,اتخيل
الدرجه ,2,الدرجه,درجه
مخدوم,2,مخدوم,مخدوم
استفاده,2,استفاده,استفاد
صعب ,2,صعب,صعب
بصريه,2,بصريه,بصر
وصفه ,2,وصفه,وصف
ينال ,2,ينال,ينال
معلومات ,2,معلومات,معلوما
المعاني,2,المعاني,معان
منظر ,2,منظر,منظر
مهدئ ,2,مهدئ,مهدء
الاطلاله,2,الاطلاله,اطلاله
دقيقة,2,دقيقة,دقيق
الزينه,2,الزينه,زينه
معزوله,2,معزوله,معزول
صاخبه,2,صاخبه,صاخب
مايندم,2,مايندم,مايندم
تجبرك ,2,تجبرك,تجبر
مايشدني,2,مايشدني,مايشد
بارك ,2,بارك,بار
مكان هاديء,2,مكان هاديء,مكان هاديء
ما يملل,2,ما يملل,يملل
بديعة,2,بديعة,ديع
سلسة,2,سلسة,سلس
النظافه,2,النظافه,نظافه
مقبولة,2,مقبولة,مقبول
وصارت ,2,وصارت,صار
لايمل ,2,لايمل,لايمل
تغيرات,2,تغيرات,تغيرا
وغني,2,وغني,وغن
لضمان,2,لضمان,لضمان
سهلة,2,سهلة,سهل
تجربتها,2,تجربتها,تجرب
مثير,2,مثير,مثير
تنسيق,2,تنسيق,تنسيق
اللطافه,2,اللطافه,لطافه
سأكرر,2,ساكرر,ساكرر
زهيدة,2,زهيدة,زهيد
شاسع,2,شاسع,شاسع
مخصصه,2,مخصصه,مخصص
خاصه,2,خاصه,خاص
يدخلك,2,يدخلك,يدخل
اكرمتنا,2,اكرمتنا,اكرم
ابدعتوا,2,ابدعتوا,ابدعت
الفريده,2,الفريده,فريده
الطيبين,2,الطيبين,طيب
الزكيه,2,الزكيه,زكيه
حنين,2,حنين,حنين
اشجع,2,اشجع,اشجع
يعيد,2,يعيد,يعيد
الأبدي,2,الابدي,ابد
بساطتها,2,بساطتها,ساط
واهم,2,واهم,واهم
لاينسى,2,لاينسى,لاينسي
ما تعنيه,2,ما تعنيه,تعن
لا ينتهي,2,لا ينتهي,ينته
خلابه,2,خلابه,خلاب
الامتنان,2,الامتنان,امتن
حسن,1,حسن,حسن
هرجعلها,1,هرجعلها,هرجعل
مرتب,1,مرتب,مرتب
متعاون,1,متعاون,متعا
متعاونين,1,متعاونين,متعاون
مسموح,1,مسموح,مسموح
يزورها,1,يزورها,يزور
موجود,1,موجود,موجود
التفاصيل,1,التفاصيل,تفاصيل
يبيلها,1,يبيلها,يبيل
ياحلو,1,ياحلو,ياحل
تعامل,1,تعامل,تعامل
التطوير ,1,التطوير,تطوير
تبهج,1,تبهج,تبهج
رفيعه,1,رفيعه,رفيع
مناسبه,1,مناسبه,مناسب
متواضعه,1,متواضعه,متواضع
طاقه,1,طاقه,طاق
نشكر,1,نشكر,نشكر
يليق,1,يليق,يليق
تزورونة,1,تزورونة,تزورون
نجوم,1,نجوم,نجوم
الطبيعه,1,الطبيعه,طبيعه
يساعد,1,يساعد,يساعد
قوي,1,قوي,قو
اول,1,اول,اول
الصدر,1,الصدر,صدر
تندم,1,تندم,تندم
بسيط,1,بسيط,سيط
مستوحي,1,مستوحي,مستوح
عبق,1,عبق,عبق
عموما,1,عموما,عموم
وتحمس,1,وتحمس,تحمس
كويس,1,كويس,كويس
تاكيد,1,تاكيد,تاكيد
شكله,1,شكله,شكل
ينفع,1,ينفع,ينفع
جيدجدا,1,جيدجدا,جيدجد
قصر,1,قصر,قصر
رقي,1,رقي,رق
مجاني,1,مجاني,مجا
مكان,1,مكان,مكان
مسلي,1,مسلي,مسل
طاقم,1,طاقم,طاقم
لايستغرق,1,لايستغرق,لايستغرق
ماشدني,1,ماشدني,ماشد
النادره,1,النادره,نادره
متحف,1,متحف,متحف
الاماكن,1,الاماكن,اماك
عتيق,1,عتيق,عتيق
متطور,1,متطور,متطور
لا تنسي,1,لا تنسي,تنس
انتباهي,1,انتباهي,انتباه
منوعه,1,منوعه,منوع
ملموم,1,ملموم,ملموم
جوده,1,جوده,جود
تتعنا لها,1,تتعنا لها,تتع
التنظيم,1,التنظيم,تنظيم
تحياتي,1,تحياتي,تحيات
تمام,1,تمام,تمام
فعلا,1,فعلا,فعل
مجانية,1,مجانية,مجان
مشكور,1,مشكور,مشكور
كيوت,1,كيوت,كيو
كول,1,كول,كول
ابيض,1,ابيض,ابيض
صحي,1,صحي,صح
طموح,1,طموح,طموح
ياسلام,1,ياسلام,ياسلام
عالي,1,عالي,عال
خفيف,1,خفيف,خفيف
هقويتي,1,هقويتي,هقويت
تضحك,1,تضحك,تضح
فنون,1,فنون,نون
ازدت,1,ازدت,ازد
يوسع ,1,يوسع,يوسع
لايك,1,لايك,لاي
مدارك,1,مدارك,مدار
وضع,1,وضع,وضع
نادر,1,نادر,نادر
أتمنى,1,اتمنى,اتمني
معرض,1,معرض,معرض
ارجع,1,ارجع,ارجع
ثري,1,ثري,ثر
مليان,1,مليان,مليان
مالفت,1,مالفت,مالف
تصوري,1,تصوري,تصور
مثري,1,مثري,مثر
قمة ,1,قمة,قمة
ماعلية,1,ماعلية,ماعل
والتقدير,1,والتقدير,والتقدير
يزيد,1,يزيد,يزيد
اهم,1,اهم,اهم
مرونه,1,مرونه,مرون
مفتوحة,1,مفتوحة,مفتوح
يجب,1,يجب,يجب
زيارتها,1,زيارتها,زيار
جددت,1,جددت,جدد
تزوزوة,1,تزوزوة,تزوزو
مهذب,1,مهذب,مهذب
تاريخي,1,تاريخي,تاريخ
مافي ,1,مافي,ماف
التعليم,1,التعليم,تعليم
الترفيه,1,الترفيه,ترفيه
فاهم,1,فاهم,فاهم
حظ,1,حظ,حظ
سنظل,1,سنظل,سنظل
فن,1,فن,فن
وفق,1,وفق,وفق
فاز,1,فاز,فاز
اسهل,1,اسهل,اسهل
قريب,1,قريب,قريب
حكاية,1,حكاية,حكا
متخصص,1,متخصص,متخصص
مدربين,1,مدربين,مدرب
وفير,1,وفير,فير
فاتح,1,فاتح,فاتح
بدري,1,بدري,بدر
العافيه,1,العافيه,عافيه
اتغيرت,1,اتغيرت,اتغير
انظف,1,انظف,انظف
يعطيهم,1,يعطيهم,يعط
يقدمون ,1,يقدمون,يقدم
ترتيب,1,ترتيب,ترتيب
تزوره,1,تزوره,تزور
درجة,1,درجة,درج
حضاري,1,حضاري,حضار
منتزه,1,منتزه,منتز
صدورهم,1,صدورهم,صدور
لاباس,1,لاباس,لاباس
حريصة,1,حريصة,حريص
كمامه,1,كمامه,كمام
بكماماتها,1,بكماماتها,كماما
شعور ,1,شعور,شعور
حديقه,1,حديقه,حديق
يحبها,1,يحبها,يحب
عصريه,1,عصريه,عصر
سياحيه,1,سياحيه,سياح
العائله,1,العائله,عايله
للأطفال,1,للاطفال,اطفال
مناظرها ,1,مناظرها,مناظر
النواحي,1,النواحي,نواح
مرات,1,مرات,مرا
محلو,1,محلو,محلو
الخالق,1,الخالق,خالق
طبيعه,1,طبيعه,طبيع
تمتع,1,تمتع,تمتع
الهدى,1,الهدى,هدي
والتقوي,1,والتقوي,والتقو
الصلاح,1,الصلاح,صلاح
رحمه ,1,رحمه,رحم
يفتح,1,يفتح,يفتح
طرب,1,طرب,طرب
يضاهي,1,يضاهي,يضاه
نشاطات,1,نشاطات,نشاطا
نشاط,1,نشاط,نشاط
قضاء,1,قضاء,قضاء
ينصح,1,ينصح,ينصح
مشرف,1,مشرف,مشرف
مدروس,1,مدروس,مدروس
مسجد,1,مسجد,مسجد
براد,1,براد,راد
ترميم,1,ترميم,ترميم
الكلمه,1,الكلمه,كلمه
بحيره,1,بحيره,حير
جزيل ,1,جزيل,جزيل
يستقبل ,1,يستقبل,استقبل
تجذب,1,تجذب,تجذب
نباها,1,نباها,نبا
عيشونا,1,عيشونا,عيش
تنطلق,1,تنطلق,تنطلق
جبل,1,جبل,جبل
يبعث,1,يبعث,يبعث
تفهم,1,تفهم,تفهم
شغوف,1,شغوف,شغوف
يلوق,1,يلوق,يلوق
تكتشف,1,تكتشف,تكتشف
مرهف,1,مرهف,مرهف
انتعاش,1,انتعاش,انتعاش
تفتخر,1,تفتخر,تفتخر
انغماس,1,انغماس,انغماس
غريب,1,غريب,غريب
متفاوت,1,متفاوت,متفاو
انتماء,1,انتماء,انتماء
تجديد,1,تجديد,تجديد
السان,1,السان,سان
يسعدها,1,يسعدها,يسعد
التحدي,1,التحدي,تحد
ايزي,1,ايزي,ايز
تفكير,1,تفكير,تفكير
امنه,1,امنه,امن
والله,1,والله,والل
الله,1,الله,الله
تنفع,1,تنفع,تنفع
بالاريحيه,1,بالاريحيه,اريحيه
كبدايه,1,كبدايه,كبدا
سوق,1,سوق,سوق
اسرع,1,اسرع,اسرع
عملي,1,عملي,عمل
مترتب,1,مترتب,مترتب
ضخم,1,ضخم,ضخم
سويته,1,سويته,سوي
التأمل,1,التامل,تامل
حريه,1,حريه,حري
ولا خساره,1,ولا خساره,خسار
ثريه,1,ثريه,ثري
الخدمات ,1,الخدمات,خدم
استثنائيه,1,استثنائيه,استثناء
الله يوفقهم,1,الله يوفقهم,الله يوفق
ذكريات,1,ذكريات,ذكريا
زاد,1,زاد,زاد
تتكرر,1,تتكرر,تتكرر
يوفقهم,1,يوفقهم,يوفق
ماتخيلته,1,ماتخيلته,ماتخيل
ينغمس,1,ينغمس,ينغمس
الف,1,الف,الف
القلب,1,القلب,قلب
ثقافي,1,ثقافي,ثقاف
معني ,1,معني,معن
المتطوعين,1,المتطوعين,متطوع
موسيقي,1,موسيقي,موسيق
هادفه,1,هادفه,هادف
ابعد ,1,ابعد,ابعد
فنيه,1,فنيه,فني
معماريه,1,معماريه,معمار
اثرائيه,1,اثرائيه,اثراء
الا تلقي,1,الا تلقي,الا تلق
تلاقي,1,تلاقي,تلاق
الطفل,1,الطفل,طفل
مفخره,1,مفخره,مفخر
متسارعه,1,متسارعه,متسارع
تعالوا,1,تعالوا,تعال
مارايت,1,مارايت,ماراي
لا يصدق,1,لا يصدق,يصدق
جدير,1,جدير,جدير
كنز,1,كنز,كنز
الأولى,1,الاولى,اولي
حدود,1,حدود,حدود
بالدفء,1,بالدفء,دفء
زخم,1,زخم,زخم
تتسع,1,تتسع,تتسع
مشبع,1,مشبع,مشبع
يعني,1,يعني,يعن
قضيت ,1,قضيت,قضي
بالغ,1,بالغ,بالغ
مزيج,1,مزيج,مزيج
ساهم,1,ساهم,ساهم
اه منك,1,اه منك,اه منك
متمكن,1,متمكن,متم
رومنسي,1,رومنسي,رومنس
ولذه ,1,ولذه,ولذ
بطاله,1,بطاله,طال
الوجدان,1,الوجدان,وجد
وماتحسفنا,1,وماتحسفنا,ماتحسف
شاعري,1,شاعري,شاعر
مشيق,1,مشيق,مشيق
شامل,1,شامل,شامل
جهودكم,1,جهودكم,جهود
اكيد,1,اكيد,اكيد
بمتياز ,1,بمتياز,متياز
علميه,1,علميه,علم
يتعلمون,1,يتعلمون,يتعلم
العاب,1,العاب,عاب
مستمر,1,مستمر,مستمر
صغيرة,1,صغيرة,صغير
استحدثت,1,استحدثت,استحدث
يغير,1,يغير,يغير
يومك,1,يومك,يوم
برضو,1,برضو,رضو
الاستقبال,1,الاستقبال,استقبال
المتعه,1,المتعه,متعه
غيرت,1,غيرت,غير
منجز,1,منجز,منجز
نضيف,1,نضيف,نضيف
التباعد,1,التباعد,تباعد
لجميع,1,لجميع,لجميع
مدلعينها,1,مدلعينها,مدلع
الادب,1,الادب,ادب
معرفة,1,معرفة,معرف
منفسا,1,منفسا,منفس
هالمره,1,هالمره,هالمر
الحزم,1,الحزم,حزم
تضل,1,تضل,تضل
بصفه,1,بصفه,بصف
